,Q14_hrs_all_jobs,Q2_Health,Q49_gender,Q50_age,Q3_Income_vs_5yr_ago,avg_hours_worked,avg_hours_worked_men,avg_hours_worked_women,Q4_Income_vs_5yr_fut,Q11_why_other_job,Q33_have_right_edu,Q62_ever_incarcerated,Q64_personal_income_cleaned,Q65_household_income_cleaned,statename,region
5180,35,2,3,53,1,38.2,41.5,34.7,2,,1,0,,,Ohio,Midwest Region
5181,50,4,1,32,3,37.7,40.3,35.2,3,,0,0,40000,40000,Connecticut,Northeast Region
5182,45,2,2,42,1,37.3,39.8,34.7,3,1,0,0,8000,878,Illinois,Midwest Region
5183,40,3,1,35,3,37.9,40.6,34.9,3,,0,1,26000,50000,Texas,South Region
5184,50,4,1,57,1,39.9,42.3,37.2,3,,1,0,,26000,Texas,South Region
5185,47,4,2,50,2,37.9,39.6,35.9,3,,1,0,82000,82000,California,West Region
5186,40,5,,48,1,38.4,39.8,36.8,3,,1,0,155000,400000,Florida,South Region
5187,70,5,1,34,3,37.1,39.9,33.7,3,,1,0,51000,51000,Pennsylvania,Northeast Region
5189,40,4,2,34,1,39.4,41.2,37.3,3,,1,0,32000,32000,New Jersey,Northeast Region
5191,40,4,2,41,3,38.6,40.5,36.5,3,,1,0,41000,41000,Illinois,Midwest Region
5192,70,3,1,31,2,38.3,41.6,35,3,1,1,0,50000,70000,Ohio,Midwest Region
5193,40,4,1,50,2,40,43.1,36.6,2,,1,0,35000,74000,Iowa,Midwest Region
5194,60,4,2,55,3,40.2,42.8,37.4,2,,1,0,106000,220000,Mississippi,South Region
5196,49,4,1,59,2,39.9,42.3,37.2,3,,1,0,46000,46000,Texas,South Region
5197,40,4,2,38,3,38.3,40.3,36.2,3,2,1,0,0,,Minnesota,Midwest Region
5198,49,3,1,,1,38.5,42.1,34.5,3,,1,0,,,Maine,Northeast Region
5199,50,5,2,42,3,38.3,41.7,34.5,3,,1,0,92000,92000,Oregon,West Region
5201,45,3,2,54,3,38.8,40.8,36.8,2,,1,0,76000,145000,Pennsylvania,Northeast Region
